,type,year_built,beds,baths,baths_full,baths_half,garage,lot_sqft,sqft,stories,lastSoldPrice,soldOn,listPrice,status
1294,condos,1964.0,1.0,1.0,1.0,,1.0,,770.0,19.0,142000.0,2012-10-18,209000.0,for_sale
380,townhomes,2006.0,3.0,3.0,2.0,1.0,2.0,,,4.0,779000.0,2022-03-09,799000.0,for_sale
997,single_family,1888.0,3.0,3.0,2.0,1.0,,,,2.0,,,675000.0,for_sale
1685,single_family,,5.0,3.0,3.0,,,3550.0,,2.0,59000.0,1996-07-09,269997.0,for_sale
660,condos,1908.0,1.0,1.0,1.0,,,,800.0,3.0,,,99900.0,for_sale
425,single_family,1956.0,3.0,2.0,2.0,,2.0,4961.0,1028.0,1.0,310000.0,2022-01-18,349900.0,for_sale
899,single_family,1911.0,3.0,2.0,2.0,,2.0,3136.0,2700.0,2.0,,,699000.0,for_sale
1395,single_family,1950.0,2.0,2.0,2.0,,2.0,7161.0,2400.0,1.0,490000.0,2014-12-16,599000.0,for_sale
1312,condos,1996.0,2.0,2.0,2.0,,1.0,,1221.0,56.0,382500.0,2021-04-05,425000.0,for_sale
447,condos,2002.0,2.0,2.0,2.0,,1.0,,2180.0,3.0,,,599000.0,for_sale
1217,condos,1929.0,2.0,2.0,2.0,,,,,4.0,387500.0,2017-08-09,495000.0,for_sale
651,single_family,,3.0,2.0,1.0,1.0,,3630.0,,2.0,426000.0,2015-05-27,679000.0,for_sale
269,single_family,1950.0,2.0,1.0,1.0,,2.0,4125.0,1000.0,,131500.0,2014-01-16,269900.0,for_sale
1920,single_family,1927.0,3.0,2.0,2.0,,2.0,3720.0,1200.0,2.0,,,324900.0,for_sale
1480,single_family,1900.0,3.0,2.0,2.0,,,2856.0,1216.0,1.0,115000.0,2015-11-13,189000.0,for_sale
543,condos,1968.0,1.0,1.0,1.0,,1.0,,,30.0,159000.0,2009-04-14,167500.0,for_sale
465,condos,2001.0,2.0,2.0,2.0,,1.0,,1189.0,7.0,384000.0,2014-07-17,550000.0,for_sale
996,single_family,1910.0,5.0,5.0,4.0,1.0,1.0,,,3.0,,,2100000.0,for_sale
394,single_family,1961.0,3.0,2.0,1.0,1.0,2.0,4125.0,1291.0,1.0,,,95000.0,for_sale
1318,single_family,2010.0,3.0,4.0,3.0,1.0,2.0,3598.0,1800.0,2.0,195000.0,2005-02-24,549900.0,for_sale
1246,single_family,1894.0,3.0,2.0,1.0,1.0,2.0,3720.0,1731.0,2.0,104000.0,1986-09-01,359000.0,for_sale
718,single_family,1969.0,3.0,2.0,2.0,,2.0,3119.0,1090.0,1.0,,,269900.0,for_sale
455,single_family,1944.0,3.0,4.0,3.0,1.0,2.0,3780.0,2600.0,2.0,211500.0,2005-03-21,649000.0,for_sale
972,single_family,1956.0,5.0,4.0,4.0,,2.0,5000.0,,2.0,350000.0,2016-08-22,920000.0,for_sale
1431,condos,1974.0,2.0,2.0,2.0,,2.0,,1550.0,36.0,569000.0,2021-01-29,595000.0,for_sale
1222,single_family,1919.0,4.0,4.0,4.0,,,,3735.0,,,,1449999.0,for_sale
734,single_family,2023.0,5.0,5.0,4.0,1.0,2.0,3875.0,4325.0,3.0,,,1449000.0,for_sale
687,land,,,0.0,,,,6534.0,,,110000.0,2006-07-11,200000.0,for_sale
401,townhomes,2020.0,4.0,4.0,3.0,1.0,2.0,1092.0,1850.0,3.0,,,650000.0,for_sale
176,condos,,1.0,1.0,1.0,,1.0,,750.0,23.0,225000.0,2015-11-18,245000.0,for_sale
1781,single_family,1952.0,2.0,1.0,1.0,,2.0,5663.0,1040.0,2.0,63000.0,1984-09-13,299000.0,for_sale
368,single_family,1905.0,4.0,2.0,2.0,,,3136.0,2310.0,2.0,198000.0,2004-05-11,485000.0,for_sale
618,single_family,,4.0,3.0,2.0,1.0,2.0,2879.0,2500.0,3.0,365000.0,2023-03-27,439000.0,for_sale
222,condos,1967.0,2.0,2.0,2.0,,,,,1.0,480000.0,2017-10-10,495000.0,for_sale
1343,condos,1921.0,2.0,2.0,2.0,,,,,3.0,,,245000.0,for_sale
792,condos,1907.0,3.0,2.0,2.0,,,,,3.0,249000.0,2016-02-18,150000.0,for_sale
1071,condos,1995.0,2.0,2.0,2.0,,1.0,,1000.0,3.0,,,195000.0,for_sale
1545,condos,,3.0,3.0,2.0,1.0,1.0,,,3.0,,,144900.0,for_sale
843,townhomes,1879.0,3.0,3.0,2.0,1.0,1.0,,2995.0,2.0,505000.0,2022-04-13,619000.0,for_sale
305,single_family,1929.0,3.0,2.0,2.0,,2.0,4720.0,1944.0,2.0,157500.0,1988-09-01,595000.0,for_sale
64,single_family,1955.0,3.0,2.0,2.0,,2.0,3780.0,1008.0,1.0,220000.0,2019-12-09,319000.0,for_sale
712,single_family,1947.0,4.0,3.0,3.0,,2.0,3750.0,1306.0,2.0,245000.0,2004-09-23,299900.0,for_sale
1693,condos,1922.0,3.0,2.0,2.0,,,,2200.0,18.0,205000.0,2022-06-15,285000.0,for_sale
1914,single_family,1975.0,3.0,2.0,2.0,,,3751.0,1600.0,2.0,66500.0,2023-05-10,244000.0,for_sale
457,multi_family,1920.0,6.0,3.0,3.0,,,3920.0,,,79000.0,2017-02-06,395000.0,for_sale
82,single_family,1943.0,4.0,2.0,1.0,1.0,,3125.0,977.0,2.0,93000.0,2001-02-08,129900.0,for_sale
378,condos,1971.0,2.0,2.0,2.0,,1.0,,,1.0,375000.0,2013-10-09,429999.0,for_sale
254,single_family,1900.0,3.0,1.0,1.0,,,3100.0,1600.0,,49000.0,1989-04-27,180000.0,for_sale
362,single_family,1935.0,4.0,2.0,2.0,,2.0,9150.0,1850.0,,183000.0,1998-08-14,325000.0,for_sale
1496,multi_family,1900.0,5.0,2.0,2.0,,2.0,3485.0,,,,,224900.0,for_sale
1501,condos,1951.0,1.0,1.0,1.0,,1.0,,785.0,26.0,,,165000.0,for_sale
1993,condos,2006.0,1.0,1.0,1.0,,,,735.0,5.0,160000.0,2022-03-29,169000.0,for_sale
279,single_family,1948.0,3.0,1.0,1.0,,2.0,5625.0,994.0,1.0,82000.0,1998-09-15,175000.0,for_sale
219,single_family,1951.0,3.0,1.0,1.0,,,5560.0,1127.0,1.0,175000.0,2011-07-25,249000.0,for_sale
1157,condos,1924.0,3.0,2.0,2.0,,1.0,,1406.0,4.0,,,325000.0,for_sale
316,single_family,1922.0,3.0,2.0,2.0,,2.0,,1425.0,2.0,180000.0,2019-04-19,259900.0,for_sale
775,single_family,1918.0,4.0,4.0,2.0,2.0,2.0,,2233.0,2.0,218000.0,1999-05-27,524900.0,for_sale
1513,multi_family,1947.0,6.0,3.0,3.0,,,6250.0,,,70000.0,1986-10-01,90000.0,for_sale
1700,townhomes,1939.0,3.0,1.0,1.0,,2.0,,832.0,2.0,,,174000.0,for_sale
361,single_family,1918.0,4.0,2.0,2.0,,,,1056.0,2.0,,,75000.0,for_sale
1540,condos,1969.0,1.0,1.0,1.0,,,,750.0,6.0,108000.0,2006-01-31,140000.0,for_sale
91,condos,2017.0,3.0,3.0,2.0,1.0,,,2283.0,3.0,,,498000.0,for_sale
22,townhomes,1962.0,2.0,1.0,1.0,,,,1000.0,2.0,,,34900.0,for_sale
354,single_family,1995.0,4.0,5.0,3.0,2.0,2.0,3224.0,,2.0,333000.0,1995-08-21,1150000.0,for_sale
1469,single_family,1896.0,3.0,3.0,3.0,,,3123.0,1800.0,2.0,165000.0,1995-08-28,449000.0,for_sale
197,condos,2003.0,2.0,2.0,2.0,,2.0,,1395.0,10.0,599000.0,2020-12-07,685000.0,for_sale
1438,condos,1912.0,3.0,2.0,2.0,,,,1800.0,2.0,413074.0,2016-07-07,589000.0,for_sale
1670,condos,1930.0,3.0,2.0,2.0,,1.0,,1900.0,3.0,199000.0,2001-08-21,299900.0,for_sale
1707,townhomes,1963.0,3.0,3.0,2.0,1.0,,1974.0,,2.0,400000.0,2019-06-27,650000.0,for_sale
648,single_family,1928.0,3.0,2.0,2.0,,2.0,3750.0,,2.0,131000.0,1997-11-28,389900.0,for_sale
747,single_family,1959.0,3.0,2.0,1.0,1.0,2.0,3750.0,1200.0,1.0,,,415000.0,for_sale
942,single_family,1890.0,3.0,3.0,2.0,1.0,,1498.0,2850.0,3.0,940000.0,2020-11-11,999900.0,for_sale
389,multi_family,1894.0,7.0,3.0,3.0,,1.0,4850.0,2800.0,,90000.0,2011-01-12,675000.0,for_sale
1898,single_family,1920.0,3.0,2.0,2.0,,2.0,2448.0,1626.0,2.0,117044.0,2013-02-11,385000.0,for_sale
657,land,,,0.0,,,,22875.0,,,,,3499000.0,for_sale
862,single_family,1943.0,4.0,3.0,3.0,,2.0,3690.0,2900.0,2.0,,,630000.0,for_sale
1530,condos,,2.0,2.0,2.0,,,,1300.0,3.0,295000.0,2010-06-01,425000.0,for_sale
1335,single_family,1885.0,4.0,2.0,2.0,,,3750.0,1428.0,2.0,,,149900.0,for_sale
467,single_family,1927.0,4.0,6.0,5.0,1.0,1.0,,5000.0,,,,2200000.0,for_sale
528,single_family,1951.0,3.0,1.0,1.0,,2.0,,1058.0,1.0,,,150000.0,for_sale
1997,condos,2002.0,3.0,3.0,2.0,1.0,3.0,,3700.0,37.0,1705000.0,2016-06-03,1449000.0,for_sale
1210,condos,,2.0,1.0,1.0,,,,1091.0,1.0,,,250000.0,for_sale
117,townhomes,1944.0,2.0,2.0,1.0,1.0,1.0,2142.0,992.0,2.0,76000.0,1993-12-27,219900.0,for_sale
860,single_family,2024.0,6.0,8.0,6.0,2.0,4.0,6184.0,8000.0,3.0,2054000.0,2023-07-03,5750000.0,for_sale
1721,multi_family,1953.0,6.0,2.0,2.0,,2.0,10890.0,,,67000.0,2017-04-13,200000.0,for_sale
29,single_family,1885.0,4.0,1.0,1.0,,2.0,,1100.0,2.0,30000.0,2023-07-11,250000.0,for_sale
1000,condos,,3.0,3.0,2.0,1.0,,,2200.0,3.0,,,499000.0,for_sale
981,condos,1908.0,1.0,1.0,1.0,,1.0,,1101.0,8.0,192500.0,2019-12-17,265000.0,for_sale
1153,condos,,2.0,1.0,1.0,,,,,3.0,25750.0,1987-05-11,125000.0,for_sale
1734,single_family,1938.0,4.0,3.0,2.0,1.0,2.0,4797.0,1932.0,2.0,325000.0,2005-06-17,665000.0,for_sale
1991,single_family,1926.0,4.0,6.0,5.0,1.0,1.0,,4350.0,,,,1149000.0,for_sale
129,multi_family,1908.0,6.0,2.0,2.0,,,,,,92500.0,2021-03-03,265000.0,for_sale
1984,single_family,1990.0,4.0,4.0,3.0,1.0,2.0,2625.0,3300.0,3.0,344800.0,1995-04-27,1250000.0,for_sale
409,single_family,1972.0,3.0,3.0,2.0,1.0,2.0,7200.0,1461.0,1.0,,,412500.0,for_sale
912,single_family,1909.0,3.0,2.0,2.0,,2.0,,1302.0,2.0,135000.0,2004-09-30,114400.0,for_sale
1207,single_family,1962.0,3.0,2.0,2.0,,2.0,3750.0,2120.0,,,,379900.0,for_sale
634,condos,1890.0,2.0,1.0,1.0,,,,,3.0,367500.0,2022-09-27,400000.0,for_sale
1331,single_family,1952.0,3.0,2.0,2.0,,2.0,,2358.0,,85000.0,1991-05-08,325000.0,for_sale
359,single_family,1951.0,4.0,1.0,1.0,,2.0,,1400.0,2.0,81100.0,1987-08-10,359888.0,for_sale
1754,multi_family,1905.0,6.0,2.0,2.0,,,3920.0,,,,,135000.0,for_sale
1184,condos,,1.0,1.0,1.0,,,,,4.0,195000.0,2015-06-01,267500.0,for_sale
901,single_family,1966.0,3.0,2.0,2.0,,1.0,3136.0,1940.0,1.0,,,464900.0,for_sale
459,single_family,1885.0,2.0,2.0,2.0,,,1984.0,1088.0,2.0,70000.0,2002-05-24,220000.0,for_sale
583,condos,1928.0,3.0,5.0,4.0,1.0,2.0,,3300.0,2.0,,,1250000.0,for_sale
871,single_family,1885.0,4.0,3.0,3.0,,4.0,7600.0,6795.0,3.0,230000.0,2017-09-08,349000.0,for_sale
1839,single_family,2020.0,3.0,4.0,3.0,1.0,2.0,1991.0,3050.0,3.0,1399000.0,2020-07-09,2200000.0,for_sale
939,condos,1964.0,1.0,1.0,1.0,,,,900.0,29.0,,,159900.0,for_sale
1650,multi_family,1921.0,6.0,4.0,4.0,,2.0,3250.0,,,,,239000.0,for_sale
560,condos,2001.0,1.0,2.0,1.0,1.0,1.0,,968.0,18.0,338000.0,2015-10-02,375000.0,for_sale
870,multi_family,1885.0,6.0,3.0,3.0,,,,,,,,599900.0,for_sale
1457,condos,1924.0,3.0,2.0,2.0,,1.0,,1800.0,8.0,339000.0,2013-05-10,510000.0,for_sale
1026,condos,1975.0,1.0,1.0,1.0,,,,,2.0,150000.0,2015-06-01,159900.0,for_sale
1066,single_family,,4.0,3.0,2.0,1.0,4.0,5670.0,1174.0,2.0,150000.0,1991-09-18,399900.0,for_sale
730,single_family,1949.0,2.0,2.0,2.0,,2.0,,962.0,2.0,172000.0,2018-07-18,275000.0,for_sale
1073,single_family,1956.0,3.0,2.0,2.0,,,4750.0,2423.0,1.0,340000.0,2007-07-09,399900.0,for_sale
345,single_family,1949.0,3.0,2.0,2.0,,3.0,6199.0,2150.0,2.0,715000.0,2021-05-05,799999.0,for_sale
1901,single_family,1880.0,2.0,3.0,3.0,,,1442.0,,1.0,525000.0,2021-02-16,650000.0,for_sale
1161,single_family,1905.0,4.0,3.0,3.0,,2.0,5227.0,2128.0,2.0,59000.0,2016-04-14,319000.0,for_sale
1896,multi_family,1966.0,8.0,4.0,4.0,,2.0,3125.0,,,85000.0,2017-01-19,199000.0,for_sale
1715,single_family,1902.0,5.0,7.0,5.0,2.0,2.0,16348.0,10000.0,3.0,,,2999000.0,for_sale
1713,condos,2002.0,2.0,2.0,2.0,,1.0,,,11.0,615000.0,2019-02-25,695000.0,for_sale
333,single_family,1947.0,3.0,2.0,1.0,1.0,2.0,,1580.0,2.0,,,199999.0,for_sale
1856,single_family,1893.0,3.0,2.0,1.0,1.0,2.0,,1350.0,2.0,64000.0,2011-06-29,294900.0,for_sale
1064,single_family,1957.0,4.0,2.0,2.0,,2.0,,2500.0,1.0,335000.0,2004-10-04,629000.0,for_sale
476,condos,1962.0,2.0,2.0,2.0,,,,1100.0,16.0,164000.0,2004-02-04,179900.0,for_sale
46,single_family,2013.0,4.0,4.0,3.0,1.0,2.0,3123.0,2725.0,3.0,729000.0,2019-02-04,965000.0,for_sale
249,condos,1917.0,2.0,2.0,2.0,,,,1500.0,1.0,332500.0,2013-01-24,450000.0,for_sale
1103,single_family,1905.0,2.0,1.0,1.0,,,,1164.0,2.0,130000.0,2007-02-22,49900.0,for_sale
861,single_family,1960.0,3.0,1.0,1.0,,2.0,,1040.0,,55000.0,1987-11-01,265000.0,for_sale
1138,single_family,2024.0,5.0,4.0,3.0,1.0,2.0,12000.0,4200.0,2.0,,,1049000.0,for_sale
322,single_family,1920.0,4.0,4.0,3.0,1.0,2.0,3720.0,1218.0,2.0,110000.0,2000-09-06,250000.0,for_sale
1248,single_family,1913.0,3.0,2.0,2.0,,,,,3.0,,,449000.0,for_sale
1399,single_family,1929.0,2.0,2.0,1.0,1.0,2.0,3781.0,1079.0,1.0,289000.0,2022-05-06,362500.0,for_sale
1845,single_family,1911.0,4.0,3.0,3.0,,2.0,4600.0,2300.0,2.0,102500.0,2023-01-12,360000.0,for_sale
934,condos,,2.0,3.0,2.0,1.0,1.0,,,3.0,348000.0,2004-06-30,500000.0,for_sale
483,single_family,1962.0,3.0,2.0,2.0,,2.0,4602.0,1152.0,1.0,150000.0,1994-05-06,300000.0,for_sale
812,condos,1963.0,1.0,1.0,1.0,,1.0,,850.0,25.0,124000.0,2015-04-29,159000.0,for_sale
1383,single_family,1924.0,3.0,1.0,1.0,,1.0,4400.0,1433.0,2.0,,,429900.0,for_sale
1462,single_family,1915.0,2.0,3.0,3.0,,,5314.0,1152.0,2.0,47500.0,2019-09-06,159500.0,for_sale
1122,single_family,1944.0,4.0,2.0,1.0,1.0,2.0,4373.0,1734.0,2.0,485000.0,2022-07-19,599900.0,for_sale
1648,single_family,,4.0,4.0,4.0,,2.0,1999.0,2932.0,2.0,,,929900.0,for_sale
1223,single_family,1885.0,2.0,4.0,3.0,1.0,2.0,3125.0,,2.0,740000.0,2021-07-15,900000.0,for_sale
1503,single_family,1884.0,3.0,4.0,3.0,1.0,2.0,2400.0,,2.0,835000.0,2021-03-31,1195000.0,for_sale
598,condos,1906.0,3.0,2.0,2.0,,,,1900.0,3.0,300000.0,2019-06-03,339900.0,for_sale
124,condos,1963.0,2.0,1.0,1.0,,1.0,,900.0,1.0,273000.0,2018-05-07,335000.0,for_sale
1709,multi_family,1903.0,6.0,2.0,2.0,,2.0,,,,,,650000.0,for_sale
482,condos,1971.0,2.0,2.0,2.0,,1.0,,1519.0,45.0,235000.0,2008-12-04,289000.0,for_sale
334,single_family,1975.0,3.0,2.0,1.0,1.0,2.0,6000.0,1032.0,1.0,65000.0,1987-05-01,230000.0,for_sale
1014,single_family,1927.0,3.0,4.0,2.0,2.0,2.0,11550.0,2528.0,2.0,,,415000.0,for_sale
1989,single_family,2004.0,4.0,4.0,3.0,1.0,2.0,2520.0,,2.0,1066000.0,2019-08-08,1350000.0,for_sale
1003,condos,2023.0,3.0,2.0,2.0,,1.0,,993.0,5.0,,,333734.0,for_sale
1417,condos,2007.0,2.0,2.0,2.0,,1.0,,1200.0,5.0,520000.0,2020-09-30,599000.0,for_sale
1789,single_family,1885.0,4.0,3.0,2.0,1.0,,,1848.0,2.0,160000.0,2019-01-03,349900.0,for_sale
729,single_family,1885.0,3.0,2.0,2.0,,1.0,1984.0,1376.0,2.0,69500.0,1996-06-13,250000.0,for_sale
1527,multi_family,1953.0,12.0,4.0,4.0,,,,,,,,629900.0,for_sale
310,condos,1995.0,1.0,1.0,1.0,,1.0,,,3.0,135000.0,2020-10-07,169900.0,for_sale
142,multi_family,1910.0,7.0,3.0,3.0,,,3125.0,,,50000.0,1997-11-18,410000.0,for_sale
924,single_family,1949.0,3.0,3.0,1.0,2.0,2.0,,2121.0,2.0,,,650000.0,for_sale
1955,condos,1929.0,2.0,2.0,2.0,,,,1350.0,4.0,45000.0,2016-09-29,155000.0,for_sale
1473,single_family,1895.0,3.0,1.0,1.0,,,5000.0,1092.0,1.0,,,165000.0,for_sale
299,single_family,1894.0,5.0,4.0,4.0,,2.0,3125.0,4000.0,3.0,675000.0,2012-01-12,750000.0,for_sale
970,condos,1920.0,2.0,2.0,2.0,,,,1550.0,3.0,265000.0,2020-11-23,325000.0,for_sale
1926,single_family,1948.0,3.0,3.0,2.0,1.0,1.0,5456.0,1359.0,2.0,237500.0,2021-07-22,550000.0,for_sale
246,single_family,1929.0,5.0,4.0,2.0,2.0,2.0,12776.0,6721.0,2.0,640000.0,2004-12-02,998888.0,for_sale
1486,single_family,1885.0,3.0,2.0,2.0,,,2700.0,1553.0,1.0,365000.0,2021-12-27,399900.0,for_sale
1262,townhomes,1965.0,3.0,2.0,2.0,,,3750.0,1465.0,2.0,,,285000.0,for_sale
474,townhomes,1946.0,2.0,2.0,2.0,,2.0,3660.0,,2.0,209000.0,2001-05-24,325500.0,for_sale
1777,condos,1962.0,1.0,1.0,1.0,,,,700.0,2.0,69000.0,2003-12-30,110000.0,for_sale
320,single_family,1956.0,2.0,2.0,2.0,,2.0,4792.0,1974.0,1.0,181000.0,1995-11-28,469000.0,for_sale
225,land,2006.0,,0.0,,,,200.0,,,,,20000.0,for_sale
281,multi_family,1927.0,6.0,4.0,3.0,1.0,2.0,4032.0,,,,,399000.0,for_sale
377,single_family,1901.0,3.0,4.0,3.0,1.0,2.0,5279.0,,2.0,650000.0,2019-01-09,870000.0,for_sale
32,single_family,2001.0,4.0,4.0,3.0,1.0,2.0,2657.0,3896.0,2.0,1550000.0,2018-06-13,1875000.0,for_sale
1823,condos,,2.0,2.0,2.0,,,,,3.0,242000.0,2022-11-09,272000.0,for_sale
215,single_family,1931.0,3.0,2.0,1.0,1.0,2.0,6200.0,2026.0,2.0,,,495000.0,for_sale
239,single_family,1909.0,4.0,3.0,3.0,,2.0,,2300.0,2.0,40000.0,2005-02-23,389900.0,for_sale
1571,single_family,,3.0,1.0,1.0,,2.0,3125.0,1205.0,1.0,,,79900.0,for_sale
735,condos,1880.0,2.0,3.0,2.0,1.0,1.0,,2600.0,8.0,622000.0,2016-07-01,699000.0,for_sale
957,single_family,1938.0,3.0,3.0,2.0,1.0,2.0,3720.0,1536.0,2.0,130000.0,1990-12-26,410000.0,for_sale
1209,condos,1998.0,3.0,2.0,2.0,,,,,3.0,430000.0,2006-07-24,615000.0,for_sale
650,condos,1967.0,1.0,1.0,1.0,,1.0,,,35.0,322000.0,2007-09-13,199900.0,for_sale
620,single_family,1969.0,3.0,3.0,2.0,1.0,2.0,4356.0,2400.0,1.0,153000.0,2000-11-20,279900.0,for_sale
1164,single_family,1921.0,3.0,3.0,3.0,,2.0,4265.0,2800.0,2.0,619500.0,2019-10-10,869000.0,for_sale
291,single_family,2007.0,6.0,6.0,5.0,1.0,2.0,4500.0,6400.0,3.0,,,3495000.0,for_sale
531,condos,1963.0,2.0,2.0,2.0,,,,1250.0,40.0,,,715000.0,for_sale
715,single_family,1929.0,4.0,3.0,2.0,1.0,2.0,3720.0,2226.0,2.0,140000.0,1989-08-01,449000.0,for_sale
1159,single_family,,3.0,3.0,3.0,,2.0,3125.0,1743.0,2.0,57500.0,1995-09-21,450000.0,for_sale
1341,condos,1918.0,2.0,2.0,2.0,,,,1600.0,12.0,,,135000.0,for_sale
1938,single_family,1956.0,3.0,3.0,3.0,,2.0,3125.0,,2.0,108000.0,1991-07-09,340000.0,for_sale
1860,multi_family,1903.0,4.0,2.0,2.0,,2.0,2700.0,1800.0,,,,849900.0,for_sale
1878,single_family,2024.0,6.0,5.0,4.0,1.0,3.0,3750.0,4200.0,2.0,550000.0,2023-01-11,1925000.0,for_sale
1807,single_family,1939.0,3.0,3.0,2.0,1.0,,6199.0,2400.0,2.0,396500.0,2018-04-30,599000.0,for_sale
731,multi_family,1903.0,5.0,2.0,2.0,,2.0,3125.0,,,,,85000.0,for_sale
132,condos,,3.0,2.0,2.0,,,,2000.0,3.0,,,450000.0,for_sale
290,single_family,1930.0,3.0,2.0,2.0,,3.0,5837.0,2090.0,2.0,410000.0,2021-05-24,495000.0,for_sale
395,condos,1916.0,2.0,2.0,2.0,,,,1400.0,3.0,187000.0,2019-08-20,265000.0,for_sale
1436,condos,1962.0,1.0,1.0,1.0,,1.0,,,28.0,175000.0,2015-05-26,193900.0,for_sale
1244,single_family,1923.0,3.0,3.0,3.0,,1.0,,2546.0,,51000.0,1981-07-08,475000.0,for_sale
1526,single_family,1954.0,2.0,1.0,1.0,,,3750.0,900.0,1.0,255000.0,2004-07-14,349900.0,for_sale
235,land,1969.0,,0.0,,,,,,,210000.0,2021-07-30,38000.0,for_sale
686,land,2005.0,,0.0,,,,153.0,,,21000.0,2018-06-06,21500.0,for_sale
709,single_family,1910.0,3.0,4.0,3.0,1.0,2.0,3049.0,2290.0,2.0,375000.0,2017-02-01,589000.0,for_sale
1118,condos,1910.0,3.0,3.0,3.0,,1.0,,2500.0,5.0,,,995000.0,for_sale
1226,multi_family,1905.0,5.0,2.0,2.0,,2.0,,,,98000.0,2004-02-10,52900.0,for_sale
915,single_family,2019.0,5.0,5.0,4.0,1.0,2.0,1799.0,4000.0,2.0,,,1095000.0,for_sale
836,condos,,1.0,1.0,1.0,,1.0,,924.0,10.0,116000.0,2012-03-12,199900.0,for_sale
1263,condos,1962.0,2.0,2.0,2.0,,1.0,,1150.0,27.0,210000.0,2020-11-17,250000.0,for_sale
154,condos,,2.0,1.0,1.0,,,,900.0,3.0,,,215000.0,for_sale
311,single_family,1947.0,5.0,3.0,2.0,1.0,2.0,,4000.0,2.0,,,774900.0,for_sale
1351,condos,2008.0,3.0,2.0,2.0,,2.0,,1900.0,5.0,600.0,2020-12-04,675000.0,for_sale
1192,condos,1953.0,3.0,3.0,3.0,,1.0,,1800.0,23.0,360000.0,2011-06-27,449000.0,for_sale
1550,single_family,1913.0,4.0,3.0,2.0,1.0,2.0,3659.0,,2.0,650000.0,2019-01-04,825000.0,for_sale
506,condos,1972.0,2.0,2.0,2.0,,1.0,,1550.0,20.0,561000.0,2023-02-02,550000.0,for_sale
88,condos,1994.0,2.0,2.0,2.0,,1.0,,1200.0,3.0,150000.0,2013-08-28,285000.0,for_sale
353,single_family,1899.0,3.0,2.0,2.0,,2.0,3750.0,,2.0,490000.0,2022-03-15,550000.0,for_sale
1233,single_family,1924.0,3.0,2.0,2.0,,2.0,3907.0,1600.0,2.0,,,229500.0,for_sale
1951,single_family,1896.0,4.0,3.0,3.0,,1.0,2065.0,,3.0,,,849000.0,for_sale
1923,single_family,1915.0,4.0,3.0,2.0,1.0,2.0,7500.0,2300.0,3.0,318000.0,2016-09-12,799900.0,for_sale
1259,single_family,1943.0,1.0,1.0,1.0,,,3350.0,600.0,1.0,,,19900.0,for_sale
1681,single_family,1948.0,3.0,3.0,2.0,1.0,,6579.0,2755.0,2.0,224000.0,1999-03-02,685000.0,for_sale
1927,single_family,1916.0,5.0,3.0,3.0,,2.0,6037.0,3200.0,2.0,100000.0,2023-04-20,400000.0,for_sale
1755,condos,2019.0,5.0,5.0,4.0,1.0,2.0,,4835.0,9.0,,,5100000.0,for_sale
984,single_family,1922.0,3.0,2.0,2.0,,2.0,3750.0,1281.0,2.0,342500.0,2006-09-08,284900.0,for_sale
143,condos,1960.0,1.0,1.0,1.0,,,,800.0,3.0,27000.0,1987-02-01,145900.0,for_sale
1042,single_family,2009.0,6.0,8.0,5.0,3.0,4.0,5808.0,8000.0,3.0,2925000.0,2019-04-11,3999000.0,for_sale
63,single_family,1922.0,4.0,3.0,3.0,,2.0,3125.0,3125.0,2.0,212000.0,2009-10-02,529000.0,for_sale
1761,single_family,,4.0,6.0,3.0,3.0,2.0,2836.0,5500.0,3.0,2200000.0,2021-10-05,3495000.0,for_sale
